,No,Constituency,Winner,Votes,Majority,Opponent 1,Votes Opponent 1,Incumbent,Incumbent Majority,Opponent 2,Votes Opponent 2,Opponent 3,Votes Opponent 3,Opponent 4,Votes Opponent 4,Opponent 5,Votes Opponent 5
0,"P12
","Jerai
","Mohd Ismail  (GS-PAS)
","22,312
","539
","Jamil Khir Baharom  (BN-UMNO)
","21,773
","Jamil Khir Baharom  (BN-UMNO)
","1,196
","Akhramsyah Muammar Ubaidah Sanusi (PH-PPBM)
","21,651
",,,,,,
0,"P13
","Sik
","Ahmad Tarmizi Sulaiman  (GS-PAS)
","20,088
","5,218
","Mansor Abdul Rahman  (BN-UMNO)
","14,870
","Mansor Abdul Rahman  (BN-UMNO)
","2,807
","Azli Uda  (PH-AMANAH)
","6,970
",,,,,,
0,"P14
","Merbok
","Nurin Aina Abdullah (PH-PKR)
","30,902
","10,072
","Tajul Urus Mat Zain (BN-UMNO)
","20,830
","Ismail Daut (BN-UMNO)
","4,122
","Ahmad Fauzi Ramli  (GS-PAS)
","19,618
",,,,,,
0,"P15
","Sungai Petani
","Johari Abdul (PH-PKR)
","45,532
","21,569
","Shahanim Mohd Yusof (BN-UMNO)
","23,963
","Johari Abdul (PH-PKR)
","9,548
","Shahri Long  (GS-PAS)
","22,760
","Sritharan Pichathu  (PRM)
","279
",,,,
0,"P16
","Baling
","Abdul Azeez Abdul Rahim  (BN-UMNO)
","38,557
","1,074
","Hassan Saad  (GS-PAS)
","37,483
","Abdul Azeez Abdul Rahim  (BN-UMNO)
","5,185
","Mohd Taufik Haji Yaacob (PH-PPBM)
","14,472
",,,,,,
0,"P17
","Padang Serai
","Karupaiya Mutusamy  (PH-PKR)
","31,724
","8,813
","Muhd Sobri Osman  (GS-PAS)
","22,911
","N Surendran K Nagarajan  (PH-PKR)
","8,437
","Leong Yong Kong (BN-MCA)
","15,449
",,,,,,
0,"P18
","Kulim-Bandar Baharu
","Saifuddin Nasution Ismail  (PH-PKR)
","23,159
","4,860
","Abd. Aziz Sheikh Fadzir  (BN-UMNO)
","18,299
","Abd. Aziz Sheikh Fadzir  (BN-UMNO)
","1,871
","Hassan Abdul Razak  (GS-PAS)
","12,885
",,,,,,
0,"P19
","Tumpat
","Che Abdullah Mat Nawi  (GS-PAS)
","47,041
","17,500
","Wan Johani Wan Hussin  (BN-UMNO)
","29,541
","Kamaruddin Jaafar  (PH-PKR)
","10,704
","Nordin Salleh
(PH-PPBM)

","10,003
",,,,,,
0,"P20
","Pengkalan Chepa
","Ahmad Marzuki Shaary (GS-PAS)
","32,592
","13,232
","Zaluzi Sulaiman (BN-UMNO)
"," 19,360
","Izani Husin  (GS-PAS)
","15,120
","Mohamad Ibrahim (PH-AMANAH)
","7,435
",,,,,,
0,"P21
","Kota Bharu
","Takiyuddin Hassan (GS-PAS)
","28,291
","5,869
","Husam Musa (PH-AMANAH)
","22,422
","Takiyuddin Hassan  (GS-PAS)
","15,970
","Fikhran Hamshi Mohd Fatmi (BN-UMNO)
","16,256
",,,,,,
0,"P22
","Pasir Mas
","Ahmad Fadhli Shaari (GS-PAS)
","28,080
","13,075
","Nor Asmawi Ab Rahman (BN-UMNO)
","15,005
","Nik Mohamad Abduh Nik Abdul Aziz  (GS-PAS)
","8,047
","Ibrahim Ali (IND)
","5,373
","Che Ujang Bin Che Daud (PH-PKR)
","5,093
",,,,
0,"P23
","Rantau Panjang
","Siti Zailah Mohd Yusoff (GS-PAS)
","24,581
","6,150
","Abdullah Mat Yasim (BN-UMNO)
","18,431
","Siti Zailah Mohd Yusoff  (GS-PAS)
","6,362
","Wan Shah Jihan Wan Din (PH-AMANAH)
","5,361
",,,,,,
0,"P24
","Kubang Kerian
","Tuan Ibrahim Tuan Man (GS-PAS)
","35,620
","19,369
","Muhamad Abdul Ghani (BN-UMNO)
","16,251
","Ahmad Baihaki Atiqullah (GS-PAS)
","16,741
","Abdul Halim Yusof (PH-AMANAH)
","11,557
",,,,,,
0,"P25
","Bachok
","Nik Mohamad Abduh Nik Abdul Aziz (GS-PAS)
","36,188
","3,292
","Awang Adek Hussin (BN-UMNO)
","32,896
","Ahmad Marzuk Shaary (GS-PAS)
","201
","Zulkifli Zakaria (PH-PPBM)
","4,880
",,,,,,
0,"P26
","Ketereh
","Annuar Musa (BN-UMNO)
","25,467
","4,626
","Wan Ismail Wan Jusoh (GS-PAS)
","20,841
","Annuar Musa (BN-UMNO)
","974
","Mohd. Radzi Mohd. Jidin (PH-PPBM)
","6,799
",,,,,,
0,"P27
","Tanah Merah
","Ikmal Hisham Abdul Aziz (BN-UMNO)
","28,152
","2,929
","Johari Mat (GS-PAS)
","25,223
","Ikmal Hisham Abdul Aziz (BN-UMNO)
","4,227
","Mohamad Fauzi Zakaria (PH-PKR)
","4,747
",,,,,,
0,"P28
","Pasir Putih
","Nik Muhd Zawawi Salleh (GS-PAS)
","32,307
","1,360
","Asyraf Wajdi Dusuki (BN-UMNO)
","30,947
","Nik Mazian Nik Mohamad (GS-PAS)
","1,888
","Kamarudin Mohd. Noor (PH-PPBM)
","4,896
",,,,,,
0,"P29
","Machang
","Ahmad Jazlan Yaakub (BN-UMNO)
","26,076
","2,824
","Zulkifli Mamat (GS-PAS)
","23,252
","Ahmad Jazlan Yaakub (BN-UMNO)
","805
","Sazmi Miah (PH-PPBM)
","5,695
",,,,,,
0,"P30
","Jeli
","Mustapa Mohamed (BN-UMNO)
","21,665
","6,647
","Mohamad Hamid (GS-PAS)
","15,018
","Mustapa Mohamed  (BN-UMNO)
","5,336
","Azran Deraman (PH-PPBM)
","2,078
",,,,,,
0,"P31
","Kuala Kerai
","Abd Latiff Abd Rahman (GS-PAS)
","28,903
","7,992
","Ramzi Ab Rahman (BN-UMNO)
","20,911
","Mohd Hatta Ramli  (PH-AMANAH)
","2,043
","Mohd. Yazid Abdullah (PH-AMANAH)
","5,173
",,,,,,
0,"P32
","Gua Musang
","Tengku Razaleigh Hamzah (BN-UMNO)
","19,426
","3,913
","Abdullah Hussein (GS-PAS)
","15,513
","Tengku Razaleigh Hamzah  (BN-UMNO)
","8,413
","Mohd. Nor Hussin (PH-PPBM)
","4,997
",,,,,,
0,"P33
","Besut
","Idris Jusoh  (BN-UMNO)
","34,335
","4,599
","Wan Nazari Wan Jusoh  (PH-PPBM)
","29,736
","Idris Jusoh  (BN-UMNO)
","8,342
","Riduan Mohamad Nor  (GS-PAS)
","6,864
",,,,,,
0,"P34
","Setiu
","Shaharizukarnain Abdul Kadir  (GS-PAS)
","35,020
","2,802
","Mohd Jidin Shafee  (BN-UMNO)
","32,218
","Mohd Zulkifly Jusoh  (BN-UMNO)
","7,943
","Mohd Faudzi Musa  (PH-PPBM)
","4,740
",,,,,,
0,"P35
","Kuala Nerus
","Mohd. Khairuddin Aman Razali  (GS-PAS)
","37,974
","8,447
","Tengku Asmadi Tengku Mohamad  (BN-UMNO)
","29,527
","Khairudin Aman Razali  (GS-PAS)
","610
","Abdullah Muhamad  (PH-AMANAH)
","4,604
",,,,,,
0,"P36
","Kuala Terengganu
","Ahmad Amzad Mohamed Hashim  (GS-PAS)
","42,988
","14,773
","Wan Nawawi Wan Ismail  (BN-UMNO)
","28,215
","Raja Kamarul Bahrin Shah Raja Ahmad (PH-AMANAH)
","10,785
","Raja Kamarul Bahrin Shah Raja Ahmad  (PH-AMANAH)
","15,380
",,,,,,
0,"P37
","Marang
","Abdul Hadi Awang  (GS-PAS)
","53,749
","21,954
","Mohamad Noor Endut  (BN-UMNO)
","31,795
","Abdul Hadi Awang (GS-PAS)
","5,124
","Zarawi Sulong  (PH-AMANAH)
","5,138
",,,,,,
0,"P38
","Hulu Terengganu
","Rosol Wahid  (BN-UMNO)
","30,925
","2,868
","Muhyidin Abdul Rashid  (GS-PAS)
","28,057
","Jailani Johari  (BN-UMNO)
","8,213
","Razali Idris  (PH-PPBM)
","3,364
",,,,,,
0,"P39
","Dungun
","Wan Hassan Mohd. Ramli (GS-PAS)
","40,850
","13,119
","Din Adam  (BN-UMNO)
","27,731
","Wan Hassan Ramli  (GS-PAS)
","3,942
","Abdul Rahman Bin Yusof  (PH-PKR)
","6,833
",,,,,,
0,"P40
","Kemaman
","Che Alias Hamid  (GS-PAS)
","39,878
","2,163
","Ahmad Shabery Cheek  (BN-UMNO)
","37,715
","Ahmad Shabery Cheek (BN-UMNO)
","12,306
","Mohd Huzaifah Bin Mohd Suhaimi  (PH-PKR)
","12,911
",,,,,,
0,"P41
","Kepala Batas
","Reezal Merican Naina Merican  (BN-UMNO)
","22,459
","4,736
","Zaidi Zakaria  (PH-AMANAH)
","17,723
","Reezal Merican Naina Merican  (BN-UMNO)
","4,176
","Siti Mastura Muhamad  (GS-PAS)
","12,120
",,,,,,
0,"P42
","Tasek Gelugor
","Shabudin Yahaya  (BN-UMNO)
","18,547
","81
","Marzuki Yahya  (PH-PPBM)
","18,466
","Shabudin Yahaya  (BN-UMNO)
","3,042
","Rizal Hafiz Ruslan  (GS-PAS)
","14,891
",,,,,,
0,"P43
","Bagan
","Lim Guan Eng  (PH-DAP)
","51,653
","43,902
","Lee Beng Seng  (BN-MCA)
","7,751
","Lim Guan Eng  (PH-DAP)
","34,159
","Huan Cheng Guan  (GS-PCM)
","502
","Koay Xing Boon  (MUP)
","181
",,,,
0,"P44
","Permatang Pauh
","Nurul Izzah Anwar  (PH-PKR)
","35,534
","15,668
","Mohd. Zaidi Mohd. Said  (BN-UMNO)
","19,866
","Wan Azizah Wan Ismail  (PH-PKR)
","8,841
","Afnan Hamimi Taib Azamudden  (GS-PAS)
","14,428
",,,,,,
0,"P45
","Bukit Mertajam
","Sim Chee Keong (PH-DAP)
","63,784
","52,877
","Gui Guat Lye  (BN-MCA)
","10,907
","Sim Chee Keong (PH-DAP)
","19,307
",,,,,,,,
0,"P46
","Batu Kawan
","Kasthuriraani Patto (PH-DAP)
","42,683
","33,553
","Jayanthi Devi Balaguru  (BN-GERAKAN)
","9,130
","Kasthuriraani Patto (PH-DAP)
","26,962
","Jay Kumar Balakrishnan  (GS-PAS)
","2,636
","Ooi Khar Giap  (PFP)
","256
",,,,
0,"P47
","Nibong Tebal
","Mansor Othman  (PH-PKR)
","35,395
","15,817
","Shaik Hussien Mydin  (BN-UMNO)
","19,578
","Mansor Othman(PH-PKR)
","8,598
","Mohd Helmi Harun  (GS-PAS)
","6,875
","Tan Tee Beng  (IND)
","331
",,,,
0,"P48
","Bukit Bendera
","Wong Hon Wai  (PH-DAP)
","50,049
","40,731
","Andy Yong Kim Seng  (BN-GERAKAN)
","9,318
","Zairil Khir Johari (PH-DAP)
","32,778
","Tan Gim Theam  (MUP)
","339
",,,,,,
0,"P49
","Tanjong
","Chow Kon Yeow  (PH-DAP)
","34,663
","29,599
","Ng Siew Lai  (BN-GERAKAN)
","5,064
","Ng Wei Aik (PH-DAP)
","28,645
",,,,,,,,
0,"P50
","Jelutong
","Sanisvara Nethaji Rayer Rajaji  (PH-DAP)
","50,700
","38,171
","Baljit Singh Jigiri Singh  (BN-GERAKAN)
","12,529
","Ooi Chuan Aun (PH-DAP)
","25,750
","Tan Sim Bee  (MUP)
","437
",,,,,,
0,"P51
","Bukit Gelugor
","Ramkarpal Singh Deo (PH-DAP)
","65,622
","55,951
","Low Joo Hiap  (BN-MCA)
","9,671
","Ramkarpal Singh Deo (PH-DAP)
","37,659
","Lai Xue Ching  (MUP)
","412
",,,,,,
0,"P52
","Bayan Baru
","Sim Tze Tzin  (PH-PKR)
","51,555
","37,751
","Chuah Seng Guan  (BN-MCA)
","13,804
","Sim Tze Tzin (PH-PKR)
","19,307
","Iszuree Ibrahim  (GS-PAS)
","8,757
","Yim Boon Leong  (MUP)
","733
",,,,
0,"P53
","Balik Pulau
","Muhammad Bakhtiar Wan Chik  (PH-PKR)
","25,471
","6,464
","Hilmi Yahaya (BN-UMNO)
","19,007
","Hilmi Yahaya (BN-UMNO)
","1,539
","Muhammad Imran Muhammad Saad  (GS-PAS)
","5,298
",,,,,,
0,"P54
","Gerik
","Hasbullah Osman  (BN-UMNO)
","13,243
","5,528
","Mohd Dahalan Ismail  (PAS)
","7,715
","Hasbullah Osman  (BN-UMNO)
","6,216
","Ibrahim Mohd Hanafiah (PH-PPBM)
","6,353
",,,,,,
0,"P55
","Lenggong
","Shamsul Anuar Nasarah  (BN-UMNO)
","12,523
","5,773
","Muhammad Mujahid Mohammad Fadzil (PAS)
","6,750
","Shamsul Anuar Nasarah  (BN-UMNO)
","4,161
","Amirul Fairuzzeen Jamaluddin (PH-BERSATU)
","3,932
",,,,,,
0,"P56
","Larut
","Hamzah Zainuddin  (BN-UMNO)
","18,184
","4,486
","Abu Husin Mohamad (PAS)
","13,698
","Hamzah Zainuddin  (BN-UMNO)
","5,296
","Khairil Anuar Akhiruddin (PH-BERSATU)
","7,738
",,,,,,
0,"P57
","Parit Buntar
","Mujahid Yusof Rawa  (PH-AMANAH)
","16,753
","3,098
","Abdul Puhat Mat Nayan (BN-UMNO)
","13,655
","Mujahid Yusof Rawa  (PH-AMANAH)
","8,476
","Ahmad Azhar Sharin (PAS)
","12,312
",,,,,,
0,"P58
","Bagan Serai
","Noor Azmi Ghazali (IND)
","17,220
","172
","Rohaya Bakar (PAS)
","17,048
","Noor Azmi Ghazali (BN-UMNO)
","1,140
","Adam Asmuni (PH-BERSATU)
","12,987
",,,,,,
0,"P59
","Bukit Gantang
","Syed Abu Hussin Hafiz Syed Abdul Fasal (IND)
","22,450
","4,089
","Khadri Khalid (PH-BERSATU)
","18,361
","Idris Ahmad  (PAS)
","986
","Idris Ahmad  (PAS)
","16,052
",,,,,,
0,"P60
","Taiping
","Teh Kok Lim (PH-DAP)
","42,997
","27,384
","Tan Keng Liang (BN-GERAKAN)
","15,613
","Nga Kor Ming (PH-DAP)
","11,745
","Ibrahim Ismail  (BERJASA)
","11,133
",,,,,,
0,"P61
","Padang Rengas
","Mohamed Nazri Abdul Aziz  (BN-UMNO)
","10,491
","2,548
","Ejazi Yahaya  (PH-PKR)
","7,943
","Mohamed Nazri Abdul Aziz  (BN-UMNO)
","2,230
","Mohd. Azalan Mohamad Radzi  (PAS)
","6,847
",,,,,,
0,"P62
","Sungai Siput
","Kesavan Subramaniam  (PH-PKR)
","20,817
","5,607
","Devamany S. Krishnasamy  (BN-MIC)
","15,210
","Michael Jeyakumar Devaraj (PSM)
","2,793
","Ishak Ibrahim  (PAS)
","5,194
","Michael Jeyakumar Devaraj (PSM)
","1,505
",,,,
0,"P63
","Tambun
","Ahmad Faizal Azumu (PH-BERSATU)
","38,661
","5,320
","Ahmad Husni Hanadzlah  (BN-UMNO)
","33,341
","Ahmad Husni Hanadzlah  (BN-UMNO)
","9,325
","Muhamad Zulkifli Mohd Zakaria  (PAS)
","14,948
",,,,,,
0,"P64
","Ipoh Timor
","Wong Kah Woh (PH-DAP)
","56,519
","42,797
","Kathleen Wong Mei Yin  (BN-MCA)
","13,722
","Thomas Su Keong Siong (PH-DAP)
","34,000
",,,,,,,,
0,"P65
","Ipoh Barat
","Kualasegaran Murugeson (PH-DAP)
","55,613
","45,724
","Cheng Wei Yee  (BN-MCA)
","9,889
","Kulasegaran Murugeson (PH-DAP)
","29,038
",,,,,,,,
0,"P66
","Batu Gajah
","V. Sivakumar (PH-DAP)
","52,850
","43,868
","Leong Chee Wai  (BN-MCA)
","8,982
","V. Sivakumar (PH-DAP)
","38,410
","Kunasekaran Krishnan (PSM)
","955
",,,,,,
0,"P67
","Kuala Kangsar
","Mastura Mohd Yazid  (BN-UMNO)
","12,102
","731
","Ahmad Termizi Ramli  (PH-AMANAH)
","11,371
","Mastura Mohd Yazid  (BN-UMNO)
","6,969
","Khalil Idham Lim Abdullah  (PAS)
","6,583
",,,,,,
0,"P68
","Beruas
","Ngeh Koo Ham (PH-DAP)
","41,231
","27,954
","Pang Chok King  (BN-GERAKAN)
","13,277
","Ngeh Koo Ham (PH-DAP)
","5,057
","Mohamad Nazeer M. K. M. Hameed  (PAS)
","5,759
",,,,,,
0,"P69
","Parit
","Mohd. Nizar Zakaria  (BN-UMNO)
","14,035
","6,320
","Najihatusalehah Ahmad  (PAS)
","7,715
","Mohd Zaim Abu Hassan  (BN-UMNO)
","4,497
","bgcolor=""Template:Pakatan Harapan)/meta/color| Tarmizi Mohd Jam  (PH-AMANAH)
","7,240
",,,,,,
0,"P70
","Kampar
","Thomas Su Keong Siong (PH-DAP)
","30,216
","11,801
","Lee Chee Leong  (BN-MCA)
","18,415
","Ko Chung Sen  (PH-DAP)
","5,400
","Yougan Mahalingam  (PAS)
","3,864
",,,,,,
0,"P71
","Gopeng
","Lee Boon Chye  (PH-PKR)
","48,923
","29,778
","Heng Seai Kei  (BN-MCA)
","19,415
","Lee Boon Chye (PH-PKR)
","15,309
","Ismail Ariffin  (PAS)
","11,165
",,,,,,
0,"P72
","Tapah
","Saravanan Murugan  (BN-MIC)
","16,086
","614
","Mohamed Azni Mohamed Ali (PH-BERSATU)
","15,472
","Saravanan Murugan  (BN-MIC)
","7,927
","Nor Azli Musa  (PAS)
","4,616
",,,,,,
0,"P73
","Pasir Salak
","Tajuddin Abdul Rahman  (BN-UMNO)
","20,003
","7,712
","Salihuddin Radin Sumadi (PH-BERSATU)
","12,291
","Tajuddin Abdul Rahman  (BN-UMNO)
","7,386
","Zafarul Azhan Zan  (PAS)
","11,151
",,,,,,
0,"P74
","Lumut
","Mohd Hatta Ramli  (PH-AMANAH)
","21,955
","400
","Zambry Abd. Kadir  (BN-UMNO)
","21,555
","Mohamad Imran Abd. Hamid  (PH-PKR)
","8,168
","Mohd. Zamri Ibrahim  (PAS)
","10,135
",,,,,,
0,"P75
","Bagan Datuk (previously known as Bagan Datok)[3]
","Ahmad Zahid Hamidi  (BN-UMNO)
","18,909
","5,073
","Pakhrurrazi Haji Arshad  (PH-PKR)
","13,836
","Ahmad Zahid Hamidi  (BN-UMNO)
","2,108
","Abdul Munim Hasan Adli  (PAS)
","4,061
",,,,,,
0,"P76
","Teluk Intan (previously known as Telok Intan)[3]
","Nga Kor Ming (PH-DAP)
","29,170
","11,179
","Mah Siew Keong (BN-GERAKAN)
","17,991
","Mah Siew Keong (BN-GERAKAN)
","238
","Ahmad Ramadzan Ahmad Daud  (PAS)
","6,494
",,,,,,
0,"P77
","Tanjong Malim
","Chang Lih Kang  (PH-PKR)
","24,672
","5,358
","Mah Hang Soon  (BN-MCA)
","19,314
","Ong Ka Chuan  (BN-MCA)
","4,328
","Mohd. Tarmizi Abd. Rahman  (PAS)
","10,311
",,,,,,
0,"P78
","Cameron Highlands
","C Sivarraajh  (BN-MIC)
","10,307
","597
","M Manogaran  (PH-DAP)
","9,710
","G. Palanivel (IND)
","462
","Wan Mahadir Wan Mahmud  (GS-PAS)
","3,587
","Suresh Kumar Balasubramaniam (PSM)
","680
","Mohd Tahir Haji Kassim (BERJASA)
","81
",,
0,"P79
","Lipis
","Abdul Rahman Mohamad  (BN-UMNO)
","13,995
","6,569
","Ahmad Pozi Yahaya (PH-PPBM)
","7,426
","Abdul Rahman Mohamad  (BN-UMNO)
","3,469
","Sobirin Duli  (GS-PAS)
","6,671
",,,,,,
0,"P80
","Raub
","Tengku Zulpuri Shah Raja Puji  (PH-DAP)
","20,659
","3,159
","Chew Mei Fun  (BN-MCA)
","17,500
","Ariff Sabri Abdul Aziz  (PH-DAP)
","2,814
","Mohamed Nilam Abdul Manap  (GS-PAS)
","7,866
",,,,,,
0,"P81
","Jerantut
","Ahmad Nazlan Idris  (BN-UMNO)
","22,640
","5,908
","Yohanis Ahmad  (GS-PAS)
","16,732
","Tengku Azlan Sultan Abu Bakar  (BN-UMNO)
","4,532
","Wan Mohd Shaharir (PH-PPBM)
","10,877
",,,,,,
0,"P82
","Indera Mahkota
","Saifuddin Abdullah  (PH-PKR)
","28,578
","10,950
","Johan Mat Sah  (BN-UMNO)
","17,628
","Fauzi Abdul Rahman  (PH-PKR)
","7,523
","Nasrudin Hassan  (GS-PAS)
","17,515
",,,,,,
0,"P83
","Kuantan
","Fuziah Salleh  (PH-PKR)
","22,807
","8,111
","Sulaiman Mat Derus  (GS-PAS)
","14,696
","Fuziah Salleh (PH-PKR)
","4,515
","Wong Kiew Lee  (BN-MCA)
","13,667
",,,,,,
0,"P84
","Paya Besar
","Mohd Shahar Abdullah  (BN-UMNO)
","19,033
","5,742
","Mohamad Azhar Mohd. Noor  (GS-PAS)
","13,291
","Vacant [4]
","7,715
","Mohd. Ashraf Mustaqim Badrul Munir (PH-PPBM)
","11,776
",,,,,,
0,"P85
","Pekan
","Najib Tun Razak (BN-UMNO)
","43,854
","24,859
","Ahiatudin Daud  (GS-PAS)
","18,995
","Najib Tun Razak (BN-UMNO)
","35,613
","Kamarul Ariffin Mohd. Shahar (PH-PPBM)
","7,662
","Abd Kadir Sainudin (IND)
","103
",,,,
0,"P86
","Maran
","Ismail Abd Muttalib (BN-UMNO)
","16,064
","3,763
","Hasenan Haron  (GS-PAS)
","12,301
","Ismail Abd Muttalib (BN-UMNO)
","6,475
","Ahmad Farid Ahmad Nordin (PH-PPBM)
","4,360
",,,,,,
0,"P87
","Kuala Krau
","Ismail Mohamed Said (BN-UMNO)
","18,058
","2,876
","Kamal Ashaari  (GS-PAS)
","15,182
","Ismail Mohamed Said (BN-UMNO)
","6,205
","Mohamad Rafidee Hashim (PH-PPBM)
","5,071
",,,,,,
0,"P88
","Temerloh
","Anuar Tahir  (PH-AMANAH)
","23,998
","1,904
","Mohd Sharkar Shamsudin (BN-UMNO)
","22,094
","Nasrudin Hassan (GS-PAS)
","1,070
","Md Jusoh Darus  (GS-PAS)
","14,734
","Mohd Khaidir Ahmad (IND)
","178
","Muhamad Fakhrudin Abu Hanipah (IND)
","46
",,
0,"P89
","Bentong
","Wong Tack  (PH-DAP)
","25,716
","2,032
","Liow Tiong Lai (BN-MCA)
","23,684
","Liow Tiong Lai (BN-MCA)
","379
","N. Balasubramaniam  (GS-PAS)
","5,706
",,,,,,
0,"P90
","Bera
","Ismail Sabri Yaakob (BN-UMNO)
","20,760
","2,311
","Zakaria Abdul Hamid  (PH-PKR)
","18,449
","Ismail Sabri Yaakob (BN-UMNO)
","2,143
","Musaniff Rahman  (GS-PAS)
","8,096
",,,,,,
0,"P91
","Rompin
","Hasan Arifin (BN-UMNO)
","26,628
","11,395
","Mohd. Shahrul Nizam Abdul Haliff  (GS-PAS)
","15,233
","Hasan Arifin (BN-UMNO)
","8,895
","Sitarunisah Abdul Kadir  (PH-PKR)
","7,876
",,,,,,
0,"P92
","Sabak Bernam
","Mohd Fasiah Mohd Fakeh  (BN-UMNO)
","12,862
","1,674
","Warno Dogol (PH-PPBM)
","11,188
","Mohd Fasiah Mohd Fakeh  (BN-UMNO)
","1,890
","Muhamad Labib Abd Jalil  (GS-PAS)
","9,300
",,,,,,
0,"P93
","Sungai Besar
","Muslimin Yahaya (PH-PPBM)
","17,350
","714
","Budiman Mohd Zohdi (BN-UMNO)
","16,636
","Budiman Mohd Zohdi (BN-UMNO)
","9,191
","Mohd Salleh Mohd Hussin  (GS-PAS)
","7,220
",,,,,,
0,"P94
","Hulu Selangor
","Leow Hsiad Hui (PH-PKR)
","40,783
","13,391
","P. Kamalanathan (BN-MIC)
","27,392
","P. Kamalanathan (BN-MIC)
","3,414
","Wan Mat Wan Sulaiman  (GS-PAS)
","16,620
","Kumar SS Paramasivam (IND)
","426
",,,,
0,"P95
","Tanjong Karang
","Noh Omar  (BN-UMNO)
","17,596
","1,970
","Zulkaferi Hanafi (PH-PPBM)
","15,626
","Noh Omar  (BN-UMNO)
","4,394
","Azlan Ahmad  (GS-PAS)
"," 7,276
",,,,,,
0,"P96
","Kuala Selangor
","Dzulkefly Ahmad  (PH-AMANAH)
","29,842
","8,498
","Irmohizan Ibrahim  (BN-UMNO)
","21,344
","Irmohizan Ibrahim  (BN-UMNO)
","460
","Mohd Fakaruddin Ismail  (GS-PAS)
","8,535
",,,,,,
0,"P97
","Selayang
","William Leong Jee Keen (PH-PKR)
","60,158
","40,657
","Kang Meng Fuat  (BN-MCA)
","19,501
","William Leong Jee Keen (PH-PKR)
","17,958
","Hashim Abd Karim  (GS-PAS)
","18,343
",,,,,,
0,"P98
","Gombak
","Mohamed Azmin Ali (PH-PKR)
","75,113
","48,721
","Abd Rahim Kamarudin  (BN-UMNO)
","26,392
","Mohamed Azmin Ali (PH-PKR)
","4,734
","Khairil Nizam Khirudin  (GS-PAS)
","17,537
",,,,,,
